"long","lat","order","hole","piece","group","id"
1225888.81599505,-1275019.84707482,1,FALSE,"1","01001.1","01001"
1244872.88606419,-1272331.28501513,2,FALSE,"1","01001.1","01001"
1244128.94250101,-1267515.26583993,3,FALSE,"1","01001.1","01001"
1272010.22884095,-1262888.86590864,4,FALSE,"1","01001.1","01001"
1276796.6958659,-1295514.40190373,5,FALSE,"1","01001.1","01001"
1272366.85962918,-1296729.85866223,6,FALSE,"1","01001.1","01001"
1269840.78576142,-1303980.4405795,7,FALSE,"1","01001.1","01001"
1248372.29859814,-1300829.8514687,8,FALSE,"1","01001.1","01001"
1242621.5041242,-1302888.13451636,9,FALSE,"1","01001.1","01001"
1240621.94294565,-1312454.96559285,10,FALSE,"1","01001.1","01001"
1240271.80830953,-1309051.87566357,11,FALSE,"1","01001.1","01001"
1228830.79626644,-1288858.83149535,12,FALSE,"1","01001.1","01001"
1225888.81599505,-1275019.84707482,13,FALSE,"1","01001.1","01001"
1148571.4798359,-1500233.58446846,14,FALSE,"1","01003.1","01003"
1155371.06510433,-1491049.44901609,15,FALSE,"1","01003.1","01003"
1151205.66428069,-1484718.37350221,16,FALSE,"1","01003.1","01003"
1155847.85392396,-1478879.89696184,17,FALSE,"1","01003.1","01003"
1151532.50929251,-1475872.6461696,18,FALSE,"1","01003.1","01003"
1152738.20188037,-1466724.46221218,19,FALSE,"1","01003.1","01003"
1148859.79339874,-1462649.97794327,20,FALSE,"1","01003.1","01003"
1151507.83886595,-1455830.19395621,21,FALSE,"1","01003.1","01003"
1148199.08547798,-1454570.50919715,22,FALSE,"1","01003.1","01003"
1150282.33037893,-1450898.46704798,23,FALSE,"1","01003.1","01003"
1160241.36401957,-1445224.37744923,24,FALSE,"1","01003.1","01003"
1162062.69318626,-1435132.8372072,25,FALSE,"1","01003.1","01003"
1166031.65365979,-1436986.21156096,26,FALSE,"1","01003.1","01003"
1170442.00251304,-1435705.82821693,27,FALSE,"1","01003.1","01003"
1180867.45386347,-1440755.6754707,28,FALSE,"1","01003.1","01003"
1184161.92653671,-1466742.0386959,29,FALSE,"1","01003.1","01003"
1185887.08643445,-1467642.93488336,30,FALSE,"1","01003.1","01003"
1185876.8434593,-1467644.44362076,31,FALSE,"1","01003.1","01003"
1187161.05670077,-1472595.17863705,32,FALSE,"1","01003.1","01003"
1184265.7196633,-1482582.60569027,33,FALSE,"1","01003.1","01003"
1194421.80991656,-1492100.41079295,34,FALSE,"1","01003.1","01003"
1196596.82647614,-1495045.84179191,35,FALSE,"1","01003.1","01003"
1204962.38991108,-1498919.04201681,36,FALSE,"1","01003.1","01003"
1209460.06783615,-1502220.22680345,37,FALSE,"1","01003.1","01003"
1210098.53387057,-1508029.74776053,38,FALSE,"1","01003.1","01003"
1207966.54622382,-1514393.54787974,39,FALSE,"1","01003.1","01003"
1207292.90424213,-1519271.92437119,40,FALSE,"1","01003.1","01003"
1210850.80858419,-1524357.92085978,41,FALSE,"1","01003.1","01003"
1215723.32898465,-1525946.55172902,42,FALSE,"1","01003.1","01003"
1209966.81287629,-1530532.66522145,43,FALSE,"1","01003.1","01003"
1208824.21524404,-1537303.11511356,44,FALSE,"1","01003.1","01003"
1203387.25612459,-1545209.92023328,45,FALSE,"1","01003.1","01003"
1190555.16219756,-1550501.90212182,46,FALSE,"1","01003.1","01003"
1175344.18155084,-1555068.30491047,47,FALSE,"1","01003.1","01003"
1168084.54104299,-1554878.26829143,48,FALSE,"1","01003.1","01003"
1175843.54738303,-1549250.24939248,49,FALSE,"1","01003.1","01003"
1176182.14469093,-1544245.36895301,50,FALSE,"1","01003.1","01003"
